,routing_processing_time_s,local_processing_time_s
0,0.0286,0.0071
1,0.0075,0.0054
2,0.0056,0.0043
3,0.0053,0.0057
4,0.0113,0.0098
5,0.0089,0.0074
6,0.0164,0.0136
7,0.008,0.0071
8,0.0088,0.006
9,0.0105,0.0116
10,0.0175,0.025
11,0.025,0.0085
12,0.0086,0.0084
13,0.0094,0.0117
14,0.0115,0.014
15,0.0264,0.0209
16,0.01,0.0099
17,0.0144,0.0109
18,0.014,0.0115
19,0.0094,0.0084
20,0.012,0.0071
21,0.011,0.014
22,0.0126,0.0158
23,0.0077,0.0069
24,0.0168,0.0206
25,0.0109,0.0144
26,0.0139,0.02
27,0.0204,0.0095
28,0.0114,0.0252
29,0.0126,0.0509
30,0.0322,0.0205
31,0.0398,0.0339
32,0.016,0.0117
33,0.0148,0.0367
34,0.0362,0.0267
35,0.04,0.0275
36,0.0108,0.0106
37,0.0293,0.0367
38,0.0326,0.0192
39,0.0233,0.0118
40,0.0163,0.0301
41,0.0154,0.0191
42,0.0453,0.0445
43,0.05,0.037
44,0.0174,0.0247
45,0.0295,0.0252
46,0.0256,0.026
47,0.0262,0.021
48,0.0079,0.0368
49,0.0303,0.0258
50,0.0574,0.0426
51,0.0327,0.0493
52,0.0259,0.0522
53,0.0102,0.008
54,0.0472,0.0498
55,0.0396,0.0802
56,0.0172,0.0403
57,0.0292,0.0433
58,0.0252,0.0296
59,0.0274,0.0394
60,0.0522,0.0387
61,0.0445,0.0378
62,0.0084,0.0406
63,0.0465,0.0388
64,0.01,0.015
65,0.0368,0.0597
66,0.0612,0.12
67,0.057,0.0526
68,0.0177,0.0739
69,0.0381,0.0532
70,0.0306,0.0748
71,0.0685,0.0373
72,0.0154,0.0301
73,0.0398,0.0156
74,0.0321,0.0288
75,0.0383,0.0167
76,0.0179,0.0407
77,0.0897,0.0174
78,0.0314,0.0396
79,0.0528,0.07
80,0.0132,0.0191
81,0.068,0.0366
82,0.0377,0.0543
83,0.0661,0.0571
84,0.0528,0.0444
85,0.0172,0.0366
86,0.0576,0.0335
87,0.0406,0.0707
88,0.0331,0.0718
89,0.057,0.0328
90,0.0204,0.0166
91,0.0208,0.0435
92,0.046,0.0731
93,0.1182,0.0546
94,0.0228,0.0385
95,0.0283,0.0452
96,0.0357,0.0275
97,0.0341,0.042
98,0.0458,0.0567
99,0.0501,0.0428
100,0.0484,0.0328
101,0.0348,0.0257
102,0.0434,0.0249
103,0.0156,0.1197
104,0.0498,0.0247
105,0.0264,0.0152
106,0.0601,0.064
107,0.0678,0.0499
108,0.0222,0.0426
109,0.0713,0.0266
110,0.0496,0.0359
111,0.0482,0.0662
112,0.0362,0.0385
113,0.0355,0.0699
114,0.0167,0.0154
115,0.0166,0.0273
116,0.0871,0.0821
117,0.0803,0.0512
118,0.0447,0.0348
119,0.0354,0.0283
120,0.072,0.0904
121,0.0449,0.0644
