request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|0.0|1359|0.0281| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|0.0|460|0.0184| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|0.0|292|0.0168| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|0.0028|351|0.0179| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|0.0|388|0.0166| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|0.0|395|0.0199| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|0.8368|1409|0.0196| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|0.0|449|0.0175| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|0.0|561|0.031| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|0.0033|307|0.0159| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|0.0|399|0.0324| C|
11|sociology|1|1|1|||403|0|0.0|403|0|0.0|403|0.0173| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|0.8878|294|0.0142| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|0.0|458|0.0152| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|0.0|625|0.016| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|0.8784|1341|0.0158| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|0.0|429|0.0149| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|0.8957|393|0.0164| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|0.0023|430|0.0154| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|0.0|406|0.0185| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|0.8693|436|0.0161| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|0.0026|385|0.0449| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|0.0|478|0.0171| B|
23|management|2|2|2|||278|0|0.0|278|0|0.0|278|0.0157| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|0.8224|428|0.0185| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|0.0|535|0.0175| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|0.0|404|0.0165| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|0.0|395|0.0172| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|0.0|1656|0.0297| C|
29|philosophy|3|3|3|||288|0|0.0|288|0|0.0|288|0.0194| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|0.0083|360|0.0193| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|0.0019|537|0.0188| C|
32|professional_psychology|3|3|3|||429|1|0.0023|429|1|0.0023|429|0.0177| B|
33|logical_fallacies|1|1|1|||502|0|0.0|502|0|0.0|502|0.0194| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|0.0049|1637|0.029| C|
35|miscellaneous|0|0|0|||291|0|0.0|291|0|0.0|291|0.0163| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|0.0|456|0.0441| C|
37|professional_law|1|1|1|||1336|0|0.0|1336|0|0.0|1336|0.0299| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|0.0|331|0.0148| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|0.0035|284|0.0168| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|0.8989|623|0.019| A|
41|high_school_world_history|3|3|3|||1827|0|0.0|1827|0|0.0|1827|0.0292| D|
42|moral_scenarios|0|0|0|||631|0|0.0|631|0|0.0|631|0.048| A|
43|us_foreign_policy|2|2|2|||369|3|0.0081|369|3|0.0081|369|0.0143| C|
44|high_school_us_history|3|3|3|||1775|8|0.0045|1775|8|0.0045|1775|0.0286| B|
45|professional_psychology|1|1|1|||468|352|0.7521|468|352|0.7521|468|0.0197| B|
46|professional_psychology|2|2|2|||411|352|0.8564|411|352|0.8564|411|0.0142| B|
47|college_physics|0|0|0|||512|1|0.002|512|1|0.002|512|0.0353| B|
48|international_law|3|3|3|||515|1|0.0019|515|1|0.0019|515|0.018| B|
49|astronomy|1|1|1|||386|2|0.0052|386|2|0.0052|386|0.0123| B|
50|global_facts|2|2|2|||325|0|0.0|325|0|0.0|325|0.0148| C|
51|miscellaneous|0|0|0|||307|264|0.8599|307|264|0.8599|307|0.0155| B|
52|moral_scenarios|1|1|1|||611|0|0.0|611|0|0.0|611|0.0216| C|
53|formal_logic|3|3|3|||709|0|0.0|709|0|0.0|709|0.0428| A|
54|high_school_macroeconomics|0|0|0|||461|0|0.0|461|0|0.0|461|0.0155| C|
55|logical_fallacies|2|2|2|||577|0|0.0|577|0|0.0|577|0.0147| D|
56|moral_scenarios|3|3|3|||619|0|0.0|619|0|0.0|619|0.0182| C|
57|high_school_psychology|0|0|0|||387|289|0.7468|387|289|0.7468|387|0.016| B|
58|elementary_mathematics|1|1|1|||359|320|0.8914|359|320|0.8914|359|0.0149| B|
59|human_sexuality|1|1|1|||382|4|0.0105|382|4|0.0105|382|0.048| B|
60|miscellaneous|2|2|2|||301|261|0.8671|301|261|0.8671|301|0.019| C|
61|nutrition|2|2|2|||378|1|0.0026|378|1|0.0026|378|0.0152| B|
62|philosophy|3|3|3|||284|246|0.8662|284|246|0.8662|284|0.0171| A|
63|high_school_psychology|0|0|0|||359|289|0.805|359|289|0.805|359|0.0166| B|
64|world_religions|3|3|3|||254|0|0.0|254|0|0.0|254|0.0696| C|
65|miscellaneous|1|1|1|||362|0|0.0|362|0|0.0|362|0.0138| C|
66|virology|0|0|0|||309|0|0.0|309|0|0.0|309|0.0142| B|
67|professional_law|2|2|2|||1408|0|0.0|1408|0|0.0|1408|0.0239| D|
68|high_school_chemistry|3|3|3|||419|379|0.9045|419|379|0.9045|419|0.0162| C|
69|moral_scenarios|0|0|0|||617|561|0.9092|617|561|0.9092|617|0.0186| A|
