request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|0.0|1359|0.014| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|0.0|460|0.0102| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|0.0|292|0.0194| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|0.0028|351|0.0127| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|0.0|388|0.0111| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|0.0|395|0.011| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|0.8368|1409|0.0152| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|0.0|449|0.0108| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|0.0|561|0.014| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|0.0033|307|0.0106| C|
10|public_relations|0|0|1|0|1|399|1|0.0025|399|1|0.0025|399|0.0111| C|
11|sociology|1|1|1|||403|0|0.0|403|0|0.0|403|0.0107| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|0.8878|294|0.0114| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|0.0|458|0.0157| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|0.0|625|0.0128| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|0.8784|1341|0.0179| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|0.0|429|0.0216| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|0.8957|393|0.0112| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|0.0023|430|0.0119| B|
19|professional_psychology|2|2|1|2|1|406|352|0.867|406|352|0.867|406|0.0117| A|
