request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.0139|0.0|0.0123|0.0048|0.0171|1359|0.7018| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0101|0.0|0.0043|0.0027|0.007|460|0.247| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0099|0.0|0.0032|0.003|0.0062|292|0.1882| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0114|0.0|0.0038|0.0033|0.0071|351|0.2082| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0108|0.0|0.0097|0.0094|0.0191|388|0.2333| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0111|0.0|0.0064|0.0048|0.0112|395|0.2278| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0158|0.0|0.0136|0.0152|0.0288|1409|0.1914| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.0116|0.0|0.005|0.005|0.01|449|0.246| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.0139|0.0|0.0058|0.0066|0.0124|561|0.2911| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0099|0.0|0.0065|0.0077|0.0142|307|0.2007| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0115|0.0|0.0214|0.0168|0.0382|399|0.2562| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0112|0.0|0.0107|0.0093|0.02|403|0.2395| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.0097|0.0|0.0064|0.0058|0.0122|294|0.1203| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0112|0.0|0.0086|0.0086|0.0172|458|0.2565| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.0101|0.0|0.0081|0.0079|0.016|625|0.3207| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.0148|0.0|0.0284|0.0224|0.0508|1341|0.1936| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0102|0.0|0.011|0.0083|0.0193|429|0.248| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.011|0.0|0.0097|0.0133|0.023|393|0.1331| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0108|0.0|0.0246|0.0227|0.0473|430|0.276| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0138|0.0|0.0113|0.0136|0.0249|406|0.2454| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0114|0.0|0.0156|0.0136|0.0292|436|0.1433| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0095|0.0|0.0103|0.0084|0.0187|385|0.2315| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|478|0.0|0.2467|0.0101|0.0|0.0131|0.0121|0.0252|478|0.2719| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.0087|0.0|0.0069|0.0061|0.013|278|0.1905| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.0091|0.0|0.0077|0.0066|0.0143|428|0.1333| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|535|0.0|0.2685|0.0093|0.0|0.0079|0.0068|0.0147|535|0.2832| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.0159|0.0|0.0219|0.0129|0.0348|404|0.2546| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.01|0.0|0.0161|0.0145|0.0306|395|0.2472| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0182|0.0|0.0162|0.0207|0.0369|1656|0.9183| C|
29|philosophy|3|3|3|||288|0|0.0|288|0|288|0.0|0.1807|0.0113|0.0|0.0185|0.0176|0.0361|288|0.2168| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|357|0.0083|0.2035|0.0204|0.0|0.0228|0.0261|0.0489|360|0.2524| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|536|0.0019|0.2689|0.0122|0.0|0.0297|0.0235|0.0532|537|0.3221| C|
32|professional_psychology|3|3|3|||429|1|0.0023|429|1|428|0.0023|0.2284|0.0113|0.0|0.0181|0.018|0.0361|429|0.2645| B|
33|logical_fallacies|1|1|1|||502|0|0.0|502|0|502|0.0|0.2558|0.0104|0.0|0.0152|0.0085|0.0237|502|0.2795| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|1629|0.0049|0.8625|0.0138|0.0|0.0141|0.0238|0.0379|1637|0.9004| C|
35|miscellaneous|0|0|0|||291|0|0.0|291|0|291|0.0|0.1817|0.0122|0.0|0.0256|0.0245|0.0501|291|0.2318| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|456|0.0|0.2386|0.011|0.0|0.0203|0.0214|0.0417|456|0.2803| C|
37|professional_law|1|1|1|||1336|0|0.0|1336|0|1336|0.0|0.6705|0.015|0.0|0.0222|0.015|0.0372|1336|0.7077| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|331|0.0|0.1948|0.0156|0.0|0.0377|0.0382|0.0759|331|0.2707| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|283|0.0035|0.1791|0.0113|0.0|0.0331|0.0318|0.0649|284|0.244| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|63|0.8989|0.1157|0.013|0.0|0.0382|0.0299|0.0681|623|0.1838| A|
41|high_school_world_history|3|3|3|||1827|0|0.0|1827|0|1827|0.0|1.0058|0.023|0.0|0.0228|0.0247|0.0475|1827|1.0533| D|
42|moral_scenarios|0|0|0|||631|0|0.0|631|0|631|0.0|0.3072|0.0269|0.0|0.0264|0.0323|0.0587|631|0.3659| A|
43|us_foreign_policy|2|2|2|||369|3|0.0081|369|3|366|0.0081|0.2066|0.0116|0.0|0.0344|0.0368|0.0712|369|0.2778| C|
44|high_school_us_history|3|3|3|||1775|8|0.0045|1775|8|1767|0.0045|0.9612|0.0149|0.0|0.0175|0.0176|0.0351|1775|0.9963| B|
45|professional_psychology|1|1|1|||468|352|0.7521|468|352|116|0.7521|0.1297|0.0112|0.0|0.0243|0.0239|0.0482|468|0.1779| B|
46|professional_psychology|2|2|2|||411|352|0.8564|411|352|59|0.8564|0.1146|0.0116|0.0|0.0383|0.0332|0.0715|411|0.1861| B|
