request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.0189|0.0|0.0141|0.0041|0.0182|1359|0.7029| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0127|0.0|0.0041|0.0024|0.0065|460|0.2465| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0117|0.0|0.0029|0.002|0.0049|292|0.1869| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0144|0.0|0.0039|0.004|0.0079|351|0.209| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0108|0.0|0.0055|0.0046|0.0101|388|0.2243| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0136|0.0|0.004|0.0044|0.0084|395|0.225| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0137|0.0|0.0124|0.0102|0.0226|1409|0.1852| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.015|0.0|0.0057|0.0046|0.0103|449|0.2463| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.0125|0.0|0.0078|0.0127|0.0205|561|0.2992| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0128|0.0|0.0086|0.0059|0.0145|307|0.201| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0111|0.0|0.0138|0.0111|0.0249|399|0.2429| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0106|0.0|0.0096|0.0063|0.0159|403|0.2354| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.01|0.0|0.0059|0.005|0.0109|294|0.119| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0112|0.0|0.0096|0.0057|0.0153|458|0.2546| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.0146|0.0|0.0109|0.0109|0.0218|625|0.3265| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.0168|0.0|0.019|0.0251|0.0441|1341|0.1869| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0131|0.0|0.0124|0.0119|0.0243|429|0.253| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.0133|0.0|0.0139|0.0076|0.0215|393|0.1316| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0113|0.0|0.0186|0.016|0.0346|430|0.2633| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0131|0.0|0.0068|0.0106|0.0174|406|0.2379| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0115|0.0|0.011|0.0115|0.0225|436|0.1366| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0118|0.0|0.0122|0.012|0.0242|385|0.237| C|
22|high_school_biology|0|0|1|0|1|478|329|0.6883|478|329|149|0.6883|0.1389|0.0125|0.3085|0.0132|0.0142|0.0274|478|0.4748| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.0121|0.0|0.0159|0.0143|0.0302|278|0.2077| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.0119|0.0|0.0197|0.0185|0.0382|428|0.1572| D|
25|jurisprudence|3|3|0|3|0|535|1|0.0019|535|1|534|0.0019|0.2681|0.0161|0.4359|0.0177|0.0309|0.0486|535|0.7526| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.012|0.0|0.0329|0.0327|0.0656|404|0.2854| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0099|0.0|0.0157|0.0122|0.0279|395|0.2445| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0138|0.0|0.0207|0.009|0.0297|1656|0.9111| C|
29|philosophy|3|3|0|3|0|288|1|0.0035|288|1|287|0.0035|0.1804|0.0118|0.3517|0.0074|0.0171|0.0245|288|0.5566| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|357|0.0083|0.2035|0.0105|0.0|0.0184|0.0228|0.0412|360|0.2447| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|536|0.0019|0.2689|0.0141|0.0|0.0382|0.0366|0.0748|537|0.3437| C|
32|professional_psychology|3|3|1|3|1|429|352|0.8205|429|352|77|0.8205|0.1193|0.0131|0.3944|0.0168|0.0198|0.0366|429|0.5503| B|
33|logical_fallacies|1|1|0|1|0|502|1|0.002|502|1|501|0.002|0.2554|0.0138|0.3929|0.0198|0.0391|0.0589|502|0.7072| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|1629|0.0049|0.8625|0.02|0.0|0.033|0.0308|0.0638|1637|0.9263| C|
35|miscellaneous|0|0|2|0|2|291|261|0.8969|291|261|30|0.8969|0.1073|0.0104|0.4425|0.0398|0.0241|0.0639|291|0.6137| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|456|0.0|0.2386|0.0102|0.0|0.0144|0.0116|0.026|456|0.2646| C|
37|professional_law|1|1|0|1|0|1336|1177|0.881|1336|1177|159|0.881|0.1417|0.0164|0.3657|0.0243|0.0536|0.0779|1336|0.5853| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|331|0.0|0.1948|0.0113|0.0|0.0293|0.044|0.0733|331|0.2681| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|283|0.0035|0.1791|0.0098|0.0|0.0155|0.0132|0.0287|284|0.2078| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|63|0.8989|0.1157|0.0281|0.0|0.0345|0.0323|0.0668|623|0.1825| A|
41|high_school_world_history|3|3|2|3|2|1827|1440|0.7882|1827|1440|387|0.7882|0.2138|0.0176|0.3868|0.0192|0.0418|0.061|1827|0.6616| D|
