request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.024|0.0|0.0217|0.0074|0.0291|1359|0.7138| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0146|0.0|0.0047|0.0039|0.0086|460|0.2486| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0183|0.0|0.0044|0.0044|0.0088|292|0.1908| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0175|0.0|0.0052|0.0041|0.0093|351|0.2104| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0156|0.0|0.01|0.0085|0.0185|388|0.2327| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0153|0.0|0.0075|0.0061|0.0136|395|0.2302| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0172|0.0|0.015|0.0139|0.0289|1409|0.1915| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.0161|0.0|0.0082|0.0059|0.0141|449|0.2501| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.021|0.0|0.0081|0.0067|0.0148|561|0.2935| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0116|0.0|0.007|0.0162|0.0232|307|0.2097| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0124|0.0|0.0155|0.015|0.0305|399|0.2485| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0131|0.0|0.0103|0.0084|0.0187|403|0.2382| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.0102|0.0|0.0047|0.0043|0.009|294|0.1171| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0152|0.0|0.0073|0.0053|0.0126|458|0.2519| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.0111|0.0|0.0082|0.006|0.0142|625|0.3189| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.0142|0.0|0.0196|0.0202|0.0398|1341|0.1826| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0429|0.0|0.0103|0.0158|0.0261|429|0.2548| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.028|0.0|0.0116|0.0103|0.0219|393|0.132| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0428|0.0|0.022|0.0382|0.0602|430|0.2889| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0174|0.0|0.0172|0.0103|0.0275|406|0.248| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0253|0.0|0.0112|0.0111|0.0223|436|0.1364| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0318|0.0|0.0269|0.0269|0.0538|385|0.2666| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|478|0.0|0.2467|0.0116|0.0|0.0241|0.0234|0.0475|478|0.2942| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.047|0.0|0.0234|0.0123|0.0357|278|0.2132| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.016|0.0|0.0144|0.0128|0.0272|428|0.1462| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|535|0.0|0.2685|0.0185|0.0|0.0149|0.0133|0.0282|535|0.2967| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.0338|0.0|0.051|0.0379|0.0889|404|0.3087| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0145|0.0|0.0161|0.0144|0.0305|395|0.2471| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0354|0.0|0.0239|0.0355|0.0594|1656|0.9408| C|
29|philosophy|3|3|3|||288|0|0.0|288|0|288|0.0|0.1807|0.0156|0.0|0.0252|0.0143|0.0395|288|0.2202| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|357|0.0083|0.2035|0.0129|0.0|0.0189|0.0195|0.0384|360|0.2419| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|536|0.0019|0.2689|0.0253|0.0|0.0566|0.0282|0.0848|537|0.3537| C|
32|professional_psychology|3|3|3|||429|1|0.0023|429|1|428|0.0023|0.2284|0.0146|0.0|0.0357|0.0168|0.0525|429|0.2809| B|
33|logical_fallacies|1|1|1|||502|0|0.0|502|0|502|0.0|0.2558|0.0635|0.0|0.0346|0.0216|0.0562|502|0.312| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|1629|0.0049|0.8625|0.019|0.0|0.0263|0.0263|0.0526|1637|0.9151| C|
35|miscellaneous|0|0|0|||291|0|0.0|291|0|291|0.0|0.1817|0.0605|0.0|0.0549|0.0284|0.0833|291|0.265| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|456|0.0|0.2386|0.0156|0.0|0.019|0.0182|0.0372|456|0.2758| C|
