request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.0178|0.0|0.0215|0.008|0.0295|1359|0.7142| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0123|0.0|0.0064|0.0054|0.0118|460|0.2518| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0117|0.0|0.0056|0.0046|0.0102|292|0.1922| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0132|0.0|0.0056|0.0049|0.0105|351|0.2116| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0113|0.0|0.0111|0.0105|0.0216|388|0.2358| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0148|0.0|0.0078|0.0073|0.0151|395|0.2317| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0163|0.0|0.0163|0.0167|0.033|1409|0.1956| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.0132|0.0|0.0075|0.0068|0.0143|449|0.2503| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.0148|0.0|0.0084|0.0075|0.0159|561|0.2946| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0117|0.0|0.0093|0.0089|0.0182|307|0.2047| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0118|0.0|0.0194|0.0184|0.0378|399|0.2558| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0118|0.0|0.0116|0.0108|0.0224|403|0.2419| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.0111|0.0|0.0086|0.008|0.0166|294|0.1247| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0115|0.0|0.0096|0.0094|0.019|458|0.2583| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.013|0.0|0.0112|0.0116|0.0228|625|0.3275| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.0159|0.0|0.0264|0.0271|0.0535|1341|0.1963| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0121|0.0|0.0133|0.0125|0.0258|429|0.2545| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.0182|0.0|0.0137|0.0136|0.0273|393|0.1374| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0116|0.0|0.0276|0.0264|0.054|430|0.2827| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0121|0.0|0.0139|0.0135|0.0274|406|0.2479| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0113|0.0|0.0136|0.0138|0.0274|436|0.1415| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0118|0.0|0.0153|0.0145|0.0298|385|0.2426| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|478|0.0|0.2467|0.012|0.0|0.0288|0.0287|0.0575|478|0.3042| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.0111|0.0|0.0152|0.0145|0.0297|278|0.2072| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.0122|0.0|0.0176|0.0163|0.0339|428|0.1529| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|535|0.0|0.2685|0.0129|0.0|0.0175|0.0163|0.0338|535|0.3023| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.0121|0.0|0.0321|0.0323|0.0644|404|0.2842| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0111|0.0|0.0185|0.0178|0.0363|395|0.2529| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0196|0.0|0.0226|0.0218|0.0444|1656|0.9258| C|
