request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|moral_scenarios|0|0|0|||617|0|0.0|617|0|617|0.0|0.3014|0.0114|0.0|0.0209|0.0048|0.0257|617|0.3271| A|
1|international_law|1|1|1|||500|0|0.0|500|0|500|0.0|0.255|0.0136|0.0|0.0077|0.0037|0.0114|500|0.2664| A|
2|professional_accounting|2|2|2|||550|0|0.0|550|0|550|0.0|0.2744|0.0114|0.0|0.0041|0.0026|0.0067|550|0.2811| B|
3|sociology|3|3|3|||439|0|0.0|439|0|439|0.0|0.2323|0.0094|0.0|0.0036|0.0025|0.0061|439|0.2384| D|
4|medical_genetics|0|0|0|||341|0|0.0|341|0|341|0.0|0.1981|0.0093|0.0|0.005|0.0039|0.0089|341|0.207| A|
5|professional_accounting|0|0|0|||567|0|0.0|567|0|567|0.0|0.2811|0.009|0.0|0.0058|0.0051|0.0109|567|0.292| C|
6|international_law|1|1|1|||516|440|0.8527|516|440|76|0.8527|0.119|0.1046|0.0|0.0061|0.0088|0.0149|516|0.1339| B|
7|international_law|2|2|2|||511|0|0.0|511|0|511|0.0|0.2592|0.0618|0.0|0.0092|0.0087|0.0179|511|0.2771| C|
8|elementary_mathematics|1|1|1|||393|0|0.0|393|0|393|0.0|0.2159|0.0115|0.0|0.0105|0.01|0.0205|393|0.2364| B|
9|marketing|2|2|2|||391|0|0.0|391|0|391|0.0|0.2152|0.0128|0.0|0.0111|0.0101|0.0212|391|0.2364| B|
10|sociology|3|3|3|||390|329|0.8436|390|329|61|0.8436|0.1152|0.012|0.0|0.008|0.0074|0.0154|390|0.1306| C|
11|international_law|0|0|0|||538|0|0.0|538|0|538|0.0|0.2696|0.0179|0.0|0.0166|0.0132|0.0298|538|0.2994| A|
12|anatomy|3|3|3|||357|0|0.0|357|0|357|0.0|0.2035|0.0116|0.0|0.013|0.009|0.022|357|0.2255| B|
13|moral_scenarios|1|1|0|1|0|628|561|0.8933|628|561|67|0.8933|0.1167|0.0197|0.0035|0.012|0.0272|0.0392|628|0.1594| C|
14|moral_scenarios|2|2|0|2|0|615|561|0.9122|615|561|54|0.9122|0.1134|0.0133|0.0043|0.0131|0.018|0.0311|615|0.1488| A|
15|moral_scenarios|3|3|0|3|0|632|561|0.8877|632|561|71|0.8877|0.1177|0.012|0.0041|0.0118|0.0194|0.0312|632|0.153| C|
16|human_aging|0|0|0|||314|1|0.0032|314|1|313|0.0032|0.1888|0.0092|0.0|0.0134|0.0108|0.0242|314|0.213| B|
17|professional_accounting|0|0|0|||565|465|0.823|565|465|100|0.823|0.1254|0.0131|0.0|0.0155|0.0109|0.0264|565|0.1518| D|
