request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|moral_scenarios|0|0|0|||617|0|0.0|617|0|617|0.0|0.3014|0.0113|0.0|0.0205|0.0026|0.0231|617|0.3245| A|
1|international_law|1|1|1|||500|0|0.0|500|0|500|0.0|0.255|0.0136|0.0|0.0051|0.0049|0.01|500|0.265| A|
2|professional_accounting|2|2|2|||550|0|0.0|550|0|550|0.0|0.2744|0.012|0.0|0.0057|0.0036|0.0093|550|0.2837| B|
3|sociology|3|3|3|||439|0|0.0|439|0|439|0.0|0.2323|0.012|0.0|0.0049|0.0043|0.0092|439|0.2415| D|
4|medical_genetics|0|0|0|||341|0|0.0|341|0|341|0.0|0.1981|0.0106|0.0|0.0061|0.006|0.0121|341|0.2102| A|
5|professional_accounting|0|0|0|||567|0|0.0|567|0|567|0.0|0.2811|0.0116|0.0|0.0074|0.0089|0.0163|567|0.2974| C|
6|international_law|1|1|1|||516|440|0.8527|516|440|76|0.8527|0.119|0.0127|0.0|0.0061|0.004|0.0101|516|0.1291| B|
7|international_law|2|2|2|||511|0|0.0|511|0|511|0.0|0.2592|0.0157|0.0|0.0086|0.008|0.0166|511|0.2758| C|
8|elementary_mathematics|1|1|1|||393|0|0.0|393|0|393|0.0|0.2159|0.01|0.0|0.0071|0.0068|0.0139|393|0.2298| B|
9|marketing|2|2|2|||391|0|0.0|391|0|391|0.0|0.2152|0.0113|0.0|0.0113|0.0067|0.018|391|0.2332| B|
10|sociology|3|3|3|||390|329|0.8436|390|329|61|0.8436|0.1152|0.0112|0.0|0.0067|0.0064|0.0131|390|0.1283| C|
11|international_law|0|0|0|||538|0|0.0|538|0|538|0.0|0.2696|0.0131|0.0|0.0089|0.012|0.0209|538|0.2905| A|
12|anatomy|3|3|3|||357|0|0.0|357|0|357|0.0|0.2035|0.0101|0.0|0.0091|0.0074|0.0165|357|0.22| B|
13|moral_scenarios|1|1|1|||628|0|0.0|628|0|628|0.0|0.3059|0.0095|0.0|0.006|0.0053|0.0113|628|0.3172| C|
14|moral_scenarios|2|2|2|||615|0|0.0|615|0|615|0.0|0.3006|0.0118|0.0|0.0098|0.0109|0.0207|615|0.3213| A|
15|moral_scenarios|3|3|3|||632|0|0.0|632|0|632|0.0|0.3076|0.0095|0.0|0.0057|0.0051|0.0108|632|0.3184| C|
16|human_aging|0|0|0|||314|1|0.0032|314|1|313|0.0032|0.1888|0.0135|0.0|0.0123|0.0083|0.0206|314|0.2094| B|
17|professional_accounting|0|0|0|||565|465|0.823|565|465|100|0.823|0.1254|0.009|0.0|0.0101|0.0104|0.0205|565|0.1459| D|
18|elementary_mathematics|1|1|1|||368|320|0.8696|368|320|48|0.8696|0.1118|0.0093|0.0|0.0093|0.0065|0.0158|368|0.1276| B|
19|medical_genetics|2|2|2|||316|0|0.0|316|0|316|0.0|0.1898|0.0091|0.0|0.007|0.006|0.013|316|0.2028| B|
20|electrical_engineering|1|1|1|||367|1|0.0027|367|1|366|0.0027|0.2066|0.0094|0.0|0.0075|0.014|0.0215|367|0.2281| D|
21|elementary_mathematics|3|3|3|||378|0|0.0|378|0|378|0.0|0.2107|0.0098|0.0|0.0065|0.0058|0.0123|378|0.223| C|
22|elementary_mathematics|0|0|0|||405|0|0.0|405|0|405|0.0|0.2202|0.0086|0.0|0.0084|0.0079|0.0163|405|0.2365| B|
23|anatomy|1|1|1|||342|0|0.0|342|0|342|0.0|0.1985|0.012|0.0|0.0149|0.0171|0.032|342|0.2305| C|
24|moral_scenarios|2|2|2|||620|561|0.9048|620|561|59|0.9048|0.1146|0.0095|0.0|0.0073|0.0072|0.0145|620|0.1291| C|
