request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.0463|0.026|0.0|0.0286|0.0071|0.0357|1359|0.082| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.0388|0.0186|0.0|0.0075|0.0054|0.0129|460|0.0517| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.0374|0.0176|0.0|0.0056|0.0043|0.0099|292|0.0473| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.0379|0.0174|0.0|0.0053|0.0057|0.011|351|0.0489| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.0382|0.0147|0.0|0.0113|0.0098|0.0211|388|0.0593| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.0383|0.0188|0.0|0.0089|0.0074|0.0163|395|0.0546| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.0369|0.0194|0.0|0.0164|0.0136|0.03|1409|0.0669| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.0387|0.02|0.0|0.008|0.0071|0.0151|449|0.0538| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.0397|0.0186|0.0|0.0088|0.006|0.0148|561|0.0545| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.0376|0.017|0.0|0.0105|0.0116|0.0221|307|0.0597| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.0383|0.0326|0.0|0.0175|0.025|0.0425|399|0.0808| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.0384|0.0204|0.0|0.025|0.0085|0.0335|403|0.0719| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.0353|0.016|0.0|0.0086|0.0084|0.017|294|0.0523| A|
13|high_school_chemistry|3|3|2|3|2|458|379|0.8275|458|379|79|0.8275|0.0357|0.0211|0.0043|0.0094|0.0117|0.0211|458|0.0611| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.0402|0.0181|0.0|0.0115|0.014|0.0255|625|0.0657| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.0364|0.0219|0.0|0.0264|0.0209|0.0473|1341|0.0837| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.0386|0.017|0.0|0.01|0.0099|0.0199|429|0.0585| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.0353|0.0154|0.0|0.0144|0.0109|0.0253|393|0.0606| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.0386|0.0134|0.0|0.014|0.0115|0.0255|430|0.0641| B|
19|professional_psychology|2|2|1|2|1|406|352|0.867|406|352|54|0.867|0.0355|0.0131|0.0042|0.0094|0.0084|0.0178|406|0.0575| A|
20|high_school_chemistry|3|3|2|3|2|436|379|0.8693|436|379|57|0.8693|0.0355|0.0171|0.0041|0.012|0.0071|0.0191|436|0.0587| C|
