request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.0463|0.0208|0.0|0.0305|0.0097|0.0402|1359|0.0865| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.0388|0.0147|0.0|0.0073|0.0055|0.0128|460|0.0516| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.0374|0.0133|0.0|0.0066|0.0049|0.0115|292|0.0489| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.0379|0.015|0.0|0.0069|0.0057|0.0126|351|0.0505| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.0382|0.0212|0.0|0.013|0.0164|0.0294|388|0.0676| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.0383|0.0171|0.0|0.0092|0.008|0.0172|395|0.0555| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.0369|0.0186|0.0|0.021|0.0165|0.0375|1409|0.0744| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.0387|0.012|0.0|0.0054|0.0033|0.0087|449|0.0474| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.0397|0.015|0.0|0.0066|0.0063|0.0129|561|0.0526| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.0376|0.0134|0.0|0.0083|0.0077|0.016|307|0.0536| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.0383|0.013|0.0|0.0175|0.0167|0.0342|399|0.0725| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.0384|0.0131|0.0|0.0101|0.0091|0.0192|403|0.0576| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.0353|0.0133|0.0|0.0086|0.0086|0.0172|294|0.0525| A|
